Location,Square_Feet,Lot_Size,Bedrooms,Bathrooms,Year_Built,Condition,Has_Basement,Price
Rural,3212,10896,4,2,2016,Excellent,Yes,289875.43
Downtown,4300,3085,4,2,1917,Good,No,359133.97
Rural,1853,18583,6,2,1917,Good,No,327471.86
Downtown,4708,5775,6,3,1989,Good,Yes,737810.7
Coastal,1782,3686,3,1,2015,Poor,Yes,165594.61
Rural,3443,49858,2,1,1916,Poor,Yes,838318.96
Urban,2311,17610,1,4,1937,Good,Yes,240938.05
Suburban,3218,29567,4,4,1999,Excellent,No,796130.89
Rural,4670,45661,3,3,2005,Excellent,No,911230.74
Coastal,3523,14734,5,2,1904,Good,Yes,960214.49
Downtown,1858,28158,6,2,1941,Excellent,No,294521.72
Urban,3141,30922,5,1,1932,Good,No,110894.37
Suburban,803,35910,3,1,1980,Poor,Yes,722141.6
Suburban,2909,29725,6,2,1915,Poor,No,979530.7
Suburban,2742,47396,6,3,1966,Good,No,742153.57
Downtown,4937,36768,4,1,1961,Poor,Yes,639687.69
Urban,4658,18798,6,4,1911,Excellent,No,279632.84
Coastal,4987,35581,2,1,1905,Good,Yes,836559.73
Coastal,2541,39406,6,4,1944,Poor,No,979336.42
Downtown,3591,20798,1,4,1967,Excellent,No,438227.02
Coastal,3157,32289,3,3,2009,Excellent,No,171089.21
Rural,1633,27081,2,4,1903,Excellent,No,526725.81
Suburban,2025,34512,4,3,1911,Good,Yes,562358.84
Suburban,2010,4572,2,4,1941,Poor,No,249662.22
Downtown,4219,16387,5,3,1933,Good,Yes,907870.92
Rural,4590,13553,6,1,1952,Good,Yes,382580.74
Rural,2180,39986,3,4,1926,Excellent,Yes,341281.05
Coastal,4605,41481,6,2,1949,Poor,Yes,638787.39
Rural,4196,36658,5,2,2010,Poor,Yes,109405.02
Downtown,1464,17166,6,1,1951,Poor,Yes,637301.59
Urban,1493,18536,3,3,2009,Poor,Yes,258636.62
Urban,4342,39979,2,1,2002,Poor,Yes,662653.81
Suburban,1360,35943,4,1,1913,Good,Yes,446729.1
Rural,1226,12055,5,2,1930,Excellent,Yes,886995.41
Coastal,4987,35789,1,2,1932,Good,No,437928.21
Coastal,3679,5713,3,1,1925,Good,Yes,983230.85
Urban,4541,40963,2,2,1905,Excellent,No,110495.91
Downtown,2931,47098,6,4,1900,Good,No,109317.28
Downtown,4476,20023,6,2,1983,Good,No,121426.24
Coastal,809,33815,2,1,1980,Excellent,Yes,448900.64
Rural,820,25003,3,1,2001,Good,Yes,731475.24
Urban,2081,24538,6,2,2022,Excellent,Yes,966537.67
Coastal,2249,22582,6,4,1919,Good,Yes,229193.32
Coastal,4849,29850,3,4,2015,Good,Yes,779504.69
Urban,2998,13723,1,3,2013,Good,Yes,219285.12
Suburban,2831,47123,6,3,1998,Excellent,Yes,771628.2
Suburban,4429,28514,2,3,1988,Poor,No,277116.8
Suburban,3070,5298,4,3,1967,Excellent,Yes,764752.29
Urban,1430,4334,6,1,1928,Good,Yes,930399.36
Urban,3340,26372,5,4,1980,Excellent,No,995567.43
Coastal,4033,12867,1,2,1919,Good,No,286070.68
Suburban,3195,12596,5,4,1983,Good,No,611228.45
Rural,3488,3545,1,1,1955,Excellent,No,752861.91
Rural,1298,19710,2,2,1971,Excellent,Yes,406752.64
Downtown,1766,11656,1,1,1945,Good,Yes,707497.16
Suburban,4765,42163,1,1,1913,Poor,No,659905.97
Urban,4084,42768,3,3,1969,Excellent,No,742350.41
Suburban,2907,41346,5,4,1969,Excellent,No,440710.36
Suburban,1939,47621,1,3,1995,Good,No,250951.06
Rural,2910,28615,6,3,1988,Excellent,Yes,481503.58
Coastal,3373,37529,3,2,2023,Poor,Yes,544885.69
Rural,1909,7523,4,4,1913,Poor,Yes,714793.89
Suburban,4152,33221,5,2,1904,Good,Yes,399152.12
Coastal,3662,21472,1,2,1971,Good,Yes,569902.51
Rural,1209,5417,3,2,1986,Poor,No,730844.54
Downtown,3883,32822,5,3,2004,Good,No,806637.13
Downtown,4806,37650,1,3,1975,Good,Yes,979438.72
Urban,3096,6714,1,3,1946,Good,Yes,450095.51
Rural,4270,5469,5,3,1953,Excellent,Yes,630214.88
Downtown,3755,16878,3,2,1998,Excellent,Yes,189726.8
Urban,939,14487,2,3,1996,Excellent,Yes,992550.7
Rural,4756,49056,1,2,1943,Poor,Yes,573846.55
Downtown,2193,9413,2,2,1903,Excellent,No,999397.65
Urban,2462,25973,6,2,1918,Poor,Yes,571562.7
Rural,3585,20870,5,4,1980,Excellent,Yes,497704.08
Urban,4689,25759,4,3,1913,Poor,No,387042.82
Coastal,4994,11728,4,2,1911,Excellent,Yes,157461.29
Urban,4424,14929,3,2,1989,Poor,Yes,213248.72
Downtown,3472,27822,3,1,1961,Poor,Yes,583555.32
Suburban,3964,34108,2,3,2005,Good,Yes,132004.7
Downtown,2878,27007,2,2,2003,Good,No,878217.8
Downtown,4052,20892,3,1,1906,Poor,Yes,210138.99
Suburban,3928,7433,3,2,2005,Poor,Yes,334589.41
Downtown,4752,25412,1,4,1945,Good,Yes,888851.3
Coastal,3755,24056,6,2,1962,Good,No,463226.27
Downtown,880,3932,4,3,1916,Good,No,828555.25
Suburban,4277,45639,3,3,1939,Good,No,248419.0
Urban,3495,45531,3,4,1970,Good,No,333387.97
Downtown,3710,38607,2,4,1986,Excellent,No,597431.58
Downtown,4725,23869,6,2,1945,Excellent,Yes,150414.36
Rural,3344,38591,4,3,1919,Good,No,594730.02
Urban,3821,8022,1,2,2000,Good,Yes,734753.54
Urban,1927,17736,4,3,1968,Good,No,747855.7
Downtown,1806,29702,5,1,2013,Poor,Yes,811713.8
Rural,2428,37884,3,1,1954,Poor,Yes,706755.16
Urban,2158,28656,4,3,1970,Good,Yes,908433.19
Rural,2947,39305,4,4,1943,Good,No,444427.39
Urban,2236,11164,1,4,1982,Good,Yes,340277.66
Downtown,3803,47707,4,1,1919,Excellent,Yes,683146.97
Rural,1917,4809,4,1,2017,Poor,Yes,398936.78
Urban,3536,39028,3,1,2019,Good,Yes,575471.67
Rural,2454,18819,6,4,1970,Excellent,Yes,191341.08
Rural,2257,9218,5,3,1990,Good,Yes,237039.92
Urban,3943,48294,3,3,1912,Poor,No,391066.63
Urban,2418,40164,6,1,2022,Poor,Yes,411454.54
Urban,1304,27321,1,4,1990,Good,No,303932.68
Rural,3750,11493,6,3,1936,Good,No,194729.09
Suburban,3054,44999,4,1,2022,Poor,No,484301.5
Rural,4019,28242,5,2,1921,Excellent,No,611104.66
Coastal,4630,13039,2,1,1914,Excellent,No,324148.08
Urban,1496,33745,2,3,1963,Excellent,Yes,754222.12
Rural,2740,20371,1,1,1957,Good,Yes,514423.88
Downtown,2840,25742,4,1,2007,Poor,No,680950.28
Suburban,4467,6461,6,2,2005,Excellent,No,886170.36
Urban,3582,37688,4,4,1964,Excellent,No,604084.46
Suburban,1531,47898,1,4,1985,Good,No,595733.26
Downtown,921,11368,1,4,1954,Poor,No,923351.57
Downtown,1632,10233,6,3,2005,Good,Yes,604600.8
Rural,1531,22303,3,4,1990,Excellent,Yes,746750.78
Downtown,2935,30093,3,4,1907,Excellent,Yes,203355.63
Downtown,2777,20919,6,3,2015,Poor,No,462560.39
Urban,3862,18732,2,2,1990,Good,Yes,616987.65
Coastal,1543,4939,2,4,1963,Good,No,947608.6
Downtown,4359,7414,4,1,1943,Poor,Yes,619547.71
Coastal,3943,22399,4,1,1973,Good,No,621118.74
Urban,3064,10765,4,1,1988,Good,No,259295.19
Downtown,4386,39053,1,1,1988,Poor,No,715825.89
Downtown,2418,33418,5,4,2010,Poor,Yes,856320.97
Urban,2174,4545,2,4,1928,Excellent,Yes,284924.84
Urban,3154,19698,5,3,1940,Good,Yes,254302.12
Suburban,4763,34694,1,2,2001,Good,No,568420.35
Coastal,3071,26610,2,4,1960,Excellent,No,496557.74
Rural,4382,43249,3,4,1912,Poor,No,653758.04
Rural,4936,14861,5,4,2012,Excellent,Yes,400909.29
Urban,1357,19443,2,1,1967,Excellent,Yes,714426.66
Coastal,2023,32121,1,2,2020,Excellent,No,291041.57
Urban,1221,43752,2,3,1957,Excellent,No,564835.3
Rural,2581,38128,4,2,2014,Excellent,Yes,490342.71
Downtown,4956,37783,4,3,1933,Poor,Yes,270574.32
Rural,2130,42682,5,2,1945,Poor,Yes,232959.86
Suburban,2236,37757,2,3,1975,Poor,Yes,139784.74
Rural,2831,16145,6,2,1948,Good,No,468612.63
Urban,4880,25691,6,1,1907,Poor,Yes,176838.28
Downtown,2104,5894,6,3,1983,Good,Yes,419406.31
Rural,1895,16759,6,3,2016,Excellent,No,135109.27
Downtown,3792,31572,4,2,2002,Poor,No,216840.51
Coastal,1418,27267,1,1,1907,Poor,Yes,212973.84
Suburban,1517,49905,2,1,1928,Poor,No,924088.28
Urban,3431,2304,6,3,1942,Good,No,242461.36
Suburban,3716,38516,4,4,1952,Poor,No,970611.61
Coastal,3369,11630,4,1,1924,Good,Yes,947888.62
Downtown,3918,20199,5,4,2011,Poor,Yes,437108.25
Rural,1865,13726,3,1,2006,Good,Yes,177535.47
Suburban,4120,38608,4,1,1902,Poor,No,639794.06
Downtown,1181,41922,1,1,1951,Excellent,Yes,475436.6
Urban,2905,26446,3,3,2022,Good,No,242077.32
Urban,4091,47816,6,1,2007,Good,Yes,585471.97
Urban,2803,21595,4,3,1955,Excellent,Yes,817697.7
Downtown,4471,45718,5,1,1962,Good,No,848353.68
Urban,3265,25518,5,4,2019,Excellent,No,697662.72
Rural,3403,33760,5,2,1966,Excellent,Yes,679836.18
Coastal,3278,19215,5,4,1943,Poor,No,887824.76
Downtown,3141,35297,3,3,1945,Good,Yes,488337.03
Coastal,4777,24276,6,1,1966,Excellent,Yes,190769.08
Rural,1606,34677,4,3,2012,Excellent,Yes,685606.28
Coastal,2961,10222,4,3,1989,Good,Yes,153387.14
Urban,3663,26910,5,4,1918,Poor,Yes,161337.65
Downtown,3080,35058,1,3,1902,Excellent,Yes,172611.49
Suburban,2227,12855,1,4,1962,Poor,Yes,424200.82
Downtown,3950,18972,4,4,1993,Excellent,Yes,950430.85
Suburban,808,41174,3,4,1955,Poor,No,955473.17
Rural,1662,36967,1,4,2008,Good,No,213151.08
Suburban,4617,26340,1,2,1963,Good,No,167187.58
Suburban,2631,43084,6,3,2016,Good,Yes,295415.62
Urban,2344,16909,5,2,2020,Poor,Yes,932051.26
Urban,3182,20132,3,2,1983,Good,Yes,963518.92
Suburban,3841,48453,1,3,2016,Poor,Yes,222460.48
Suburban,4954,11949,2,4,1951,Poor,No,517907.06
Coastal,1677,12689,4,1,1987,Poor,Yes,947007.7
Downtown,2686,7332,3,1,1995,Good,Yes,638815.31
Coastal,3051,37152,4,1,1907,Poor,No,379632.56
Urban,2692,45792,5,1,1991,Excellent,No,934869.91
Suburban,4409,18125,6,1,1952,Poor,No,317288.88
Urban,4156,34394,2,4,1905,Poor,No,203452.29
Rural,4439,19310,6,4,1964,Excellent,No,303830.14
Coastal,4079,42490,5,3,1952,Poor,No,551063.87
Downtown,1673,16859,4,3,1989,Good,Yes,366202.75
Downtown,885,28489,5,3,1904,Poor,Yes,627792.57
Coastal,3702,25670,1,3,1923,Poor,No,987052.85
Suburban,1231,46751,5,4,1946,Poor,Yes,682559.7
Urban,2834,31263,5,4,2018,Good,Yes,476438.11
Rural,4003,20438,5,1,1962,Good,Yes,192136.84
Suburban,3765,18736,3,2,1949,Good,No,233340.58
Suburban,1884,24401,1,4,1963,Good,No,325755.17
Suburban,2398,23307,4,1,1969,Good,Yes,928271.79
Urban,4872,18828,3,3,2023,Good,No,454087.75
Downtown,3670,37125,6,2,2021,Poor,Yes,141462.56
Rural,2847,36447,1,2,1907,Poor,Yes,746008.87
Suburban,1109,49697,3,2,1970,Good,Yes,338049.46
Coastal,1763,27974,6,3,1973,Good,Yes,828324.34
Coastal,2975,17808,2,4,1902,Good,Yes,237577.91
Urban,4605,34910,5,1,1959,Poor,Yes,931805.04
Coastal,3171,33373,6,3,2016,Good,Yes,833960.13
Downtown,4488,23634,4,3,1938,Excellent,Yes,308517.18
Urban,4962,14863,1,2,1986,Excellent,Yes,317265.58
Rural,4621,31317,4,3,1954,Excellent,No,482716.38
Suburban,1526,3888,3,2,1981,Excellent,Yes,879680.09
Downtown,3297,17318,5,2,1910,Good,No,107818.97
Suburban,4680,4984,4,3,1937,Good,Yes,691014.77
Suburban,1577,27255,1,2,1916,Poor,Yes,617972.22
Coastal,4666,31237,2,2,1960,Good,No,713238.73
Coastal,4873,29553,1,1,1911,Excellent,Yes,882012.11
Rural,1725,6671,3,1,1988,Excellent,Yes,304564.78
Urban,1806,26188,1,3,2015,Good,No,126070.67
Coastal,2872,23551,2,2,1999,Poor,No,142873.04
Downtown,4824,10572,6,3,1999,Poor,Yes,279960.2
Rural,4006,34009,5,3,2007,Excellent,Yes,427887.71
Coastal,3594,20878,6,4,1952,Poor,Yes,385991.19
Coastal,3111,7702,5,1,1991,Poor,No,266027.26
Suburban,1695,37979,3,3,1914,Poor,Yes,599222.33
Suburban,2051,46461,2,1,2005,Poor,No,428667.83
Suburban,3387,8071,1,3,1996,Poor,No,366241.85
Rural,3401,6989,6,2,2007,Good,Yes,112276.55
Downtown,2681,26248,6,2,1975,Excellent,Yes,379159.45
Urban,2182,11449,2,2,1966,Good,Yes,804025.17
Suburban,3279,5854,3,1,1903,Excellent,No,417072.98
Coastal,879,33545,3,3,1911,Poor,Yes,238847.22
Coastal,3995,16927,2,4,1904,Excellent,No,536777.28
Coastal,3453,13751,2,4,1978,Poor,No,507717.94
Downtown,4725,22951,2,2,1912,Good,Yes,216245.47
Rural,2463,13773,3,1,1985,Good,No,682806.45
Suburban,3192,21570,4,3,2014,Good,No,612493.53
Downtown,3338,6006,2,1,1949,Poor,No,920999.59
Suburban,4532,3691,3,2,1938,Excellent,Yes,176819.03
Coastal,3475,4192,6,3,1976,Excellent,Yes,335705.24
Coastal,4767,47720,6,2,1950,Good,Yes,558098.02
Suburban,2249,49518,2,1,1936,Poor,Yes,728933.99
Rural,2196,18172,3,4,1909,Poor,Yes,507791.21
Downtown,926,46715,6,3,1938,Excellent,No,363109.57
Suburban,4821,10003,5,2,1965,Poor,Yes,457797.99
Downtown,3774,46617,1,3,1960,Poor,Yes,989630.05
Rural,2658,27084,5,2,1945,Good,Yes,613766.18
Rural,3764,29764,3,1,1961,Excellent,Yes,712780.02
Urban,2885,40067,4,4,1983,Excellent,Yes,271749.66
Rural,2223,49272,1,4,1996,Excellent,Yes,752502.92
Suburban,1336,27146,4,4,1999,Excellent,Yes,211395.7
Downtown,4595,29489,5,3,1933,Good,Yes,454680.83
Downtown,4922,27699,3,1,1947,Excellent,No,984348.25
Suburban,2443,2684,5,2,1932,Poor,No,795522.51
Suburban,2522,45619,5,1,1947,Good,No,397574.65
Suburban,919,8480,2,1,1915,Excellent,No,680672.11
Downtown,848,30596,4,4,1932,Poor,Yes,415432.82
Downtown,1636,14212,6,4,1901,Good,No,298979.52
Suburban,1924,37268,2,2,1953,Good,Yes,550535.17
Suburban,3511,10234,1,3,1990,Good,Yes,127322.2
Suburban,3705,33870,4,2,1980,Excellent,No,533568.82
Downtown,1441,32293,3,1,1936,Poor,Yes,262469.0
Coastal,3968,15363,1,2,2014,Excellent,Yes,407169.71
Urban,842,10628,4,4,1928,Excellent,No,779907.75
Coastal,2928,5369,3,2,1947,Excellent,Yes,337736.45
Downtown,4530,38349,6,3,1991,Poor,Yes,489292.68
Coastal,1443,42665,6,4,1949,Excellent,No,598838.14
Urban,1839,42417,3,1,1931,Poor,No,776968.55
Rural,1327,36268,6,2,2015,Poor,No,367049.08
Downtown,3836,31215,3,1,1934,Poor,No,291809.23
Suburban,2264,35548,5,2,1944,Good,No,962190.21
Urban,4797,48657,3,3,1915,Poor,Yes,127248.98
Downtown,3957,20005,4,3,1970,Poor,Yes,116516.99
Rural,1532,31636,1,4,2005,Excellent,Yes,445212.61
Urban,1106,9322,3,4,1947,Good,No,626805.23
Coastal,3971,15670,2,4,1919,Good,No,230956.47
Rural,1234,5549,6,4,2010,Poor,Yes,681406.45
Rural,2478,45107,1,4,2018,Poor,No,182534.71
Suburban,817,41167,3,2,1981,Good,Yes,861381.11
Coastal,866,3491,5,3,1944,Good,No,781049.9
Suburban,3945,26807,6,2,1917,Excellent,Yes,479271.72
Suburban,1205,26292,4,2,2005,Poor,Yes,736081.75
Downtown,2565,5534,4,3,1997,Poor,No,414780.71
Downtown,4490,25440,5,4,1982,Excellent,Yes,282681.64
Urban,860,37276,5,4,1974,Poor,No,141932.3
Downtown,2723,36099,1,4,1942,Poor,No,597047.96
Rural,4344,14193,6,4,1968,Good,Yes,703064.88
Urban,3331,30055,6,2,2003,Excellent,No,762414.29
Urban,2626,42497,1,4,1977,Excellent,No,825344.78
Rural,3263,19855,4,3,1946,Poor,No,885508.08
Downtown,3636,46059,5,2,1909,Excellent,Yes,819147.75
Suburban,1766,30548,2,2,2017,Poor,No,908172.5
Downtown,4804,34504,4,1,1995,Good,No,877095.31
Rural,3231,14450,5,3,1910,Poor,No,582533.19
Urban,2799,42780,2,1,2000,Poor,Yes,612818.4
Downtown,3425,43909,4,3,1947,Good,No,429154.64
Coastal,2874,21383,1,1,1929,Excellent,Yes,314980.02
Downtown,2126,27202,2,3,1944,Good,Yes,615449.58
Suburban,3488,17528,2,3,1968,Poor,Yes,248749.03
Coastal,4136,34204,5,4,2001,Good,Yes,741602.05
Urban,1096,13325,5,2,2005,Poor,Yes,839710.08
Urban,1479,14825,1,3,1938,Good,No,244825.57
Suburban,2835,45855,6,4,1971,Good,Yes,835667.48
Downtown,2765,25858,3,4,1924,Poor,No,182113.45
Urban,4366,21722,5,3,1968,Good,No,166327.92
Coastal,4032,39120,1,1,1956,Good,Yes,851038.21
Downtown,4339,44723,2,4,1999,Excellent,No,542666.94
Rural,1306,22246,3,1,1901,Good,Yes,151881.68
Suburban,3899,27485,6,3,1979,Poor,Yes,541978.27
Suburban,1099,6792,2,2,1990,Poor,No,424407.07
Urban,1951,42331,2,4,1934,Good,No,556177.23
Downtown,2574,13619,4,4,1942,Excellent,No,326058.6
Urban,4514,35387,2,4,1998,Poor,No,801804.06
Downtown,2799,6606,2,3,1944,Poor,No,837798.55
Urban,4691,13406,4,4,1959,Excellent,No,211183.27
Suburban,3977,28697,1,2,2013,Good,No,987950.86
Rural,4235,26825,3,4,1955,Good,Yes,390016.05
Downtown,2169,30239,3,2,1929,Excellent,Yes,805909.9
Suburban,3951,33322,1,2,1974,Good,Yes,816873.31
Rural,3525,36758,2,2,1923,Excellent,Yes,607003.24
Coastal,3100,18240,6,2,1900,Good,Yes,844683.66
Coastal,1196,17999,2,3,2020,Excellent,Yes,688054.17
Suburban,1656,34778,4,2,1947,Good,No,109986.81
Urban,3074,27787,1,3,1945,Excellent,Yes,329448.92
Coastal,1553,23252,2,4,2017,Excellent,No,539632.38
Rural,1527,15876,2,2,2015,Poor,No,518366.7
Urban,1305,41345,6,2,1913,Good,Yes,331618.25
Coastal,1908,41283,3,4,1972,Good,Yes,888212.34
Suburban,3390,35231,1,2,2002,Good,Yes,406883.2
Suburban,1665,33909,1,1,1919,Poor,Yes,949539.27
Urban,3816,38511,3,4,2009,Good,Yes,239958.74
Suburban,2413,21723,6,3,1965,Excellent,Yes,695915.2
Suburban,2136,15739,6,3,2005,Good,No,465954.88
Urban,4378,13913,2,2,1923,Good,No,268584.53
Suburban,2987,29562,6,1,1944,Good,No,603808.8
Downtown,4135,40928,5,2,1952,Excellent,No,179666.7
Rural,4423,34441,5,4,1935,Poor,No,504240.32
Rural,1521,30772,2,4,1917,Good,No,645176.7
Downtown,3126,14516,3,4,2019,Poor,Yes,546034.32
Suburban,4252,37050,5,1,1962,Good,No,411900.38
Downtown,3589,42549,2,4,1914,Poor,No,383837.68
Suburban,4734,20118,6,3,1952,Good,Yes,496899.08
Rural,3128,39522,2,1,1976,Good,No,527762.1
Rural,2602,32534,6,4,2006,Poor,No,726795.88
Coastal,1907,40400,5,4,1932,Poor,Yes,784665.19
Downtown,1839,12392,1,2,2018,Good,No,563047.58
Downtown,4225,24548,4,4,1965,Excellent,No,162097.3
Downtown,2528,20018,4,3,1924,Poor,No,876908.17
Urban,2283,5141,1,1,1960,Excellent,No,797729.52
Urban,1568,2008,6,3,1958,Poor,No,332589.56
Suburban,4634,40519,6,4,1975,Excellent,No,381806.68
Urban,4090,27224,2,2,2019,Excellent,No,160245.1
Coastal,3761,30414,6,3,1990,Poor,Yes,240998.4
Suburban,2025,40830,2,3,2000,Excellent,No,197166.59
Rural,1456,42480,6,2,1995,Good,Yes,243916.19
Suburban,4049,16209,4,3,1904,Good,Yes,271465.61
Coastal,2952,7953,4,1,1986,Good,No,658141.4
Downtown,3943,25979,6,3,1916,Poor,Yes,700363.54
Suburban,2817,37407,1,3,1918,Poor,No,292981.64
Downtown,4380,39039,3,2,1971,Good,Yes,719082.14
Downtown,1821,23895,2,1,2015,Excellent,No,421043.54
Coastal,1420,13120,6,1,1982,Excellent,No,893257.11
Rural,1796,41978,6,4,1958,Good,Yes,134958.64
Coastal,969,42484,4,2,1950,Excellent,No,363328.73
Coastal,1826,16563,4,1,1954,Good,Yes,975137.26
Rural,4221,2595,6,2,1986,Good,No,166368.03
Urban,2128,24112,6,3,1997,Poor,No,570924.63
Suburban,3803,41345,5,3,2017,Poor,Yes,181576.92
Suburban,2068,35580,3,1,1966,Excellent,Yes,630919.35
Suburban,826,26235,3,4,1911,Excellent,Yes,514062.11
Urban,2005,4888,5,2,1931,Excellent,No,955979.73
Urban,3651,36673,4,1,1911,Excellent,Yes,525649.88
Suburban,1038,49412,3,1,1969,Poor,No,177610.58
Rural,3492,32756,3,1,1979,Poor,Yes,929654.57
Urban,4185,36153,4,4,1909,Poor,Yes,163665.2
Urban,2917,4593,3,3,2020,Excellent,Yes,859423.39
Coastal,4217,2576,4,3,1975,Poor,Yes,730360.49
Downtown,4450,22296,2,2,2022,Good,Yes,719987.91
Rural,1718,8299,1,4,1937,Excellent,Yes,561496.44
Coastal,3488,25030,4,4,1922,Excellent,Yes,129290.45
Urban,3819,13265,3,2,1972,Good,No,566549.21
Downtown,2647,21653,3,4,1988,Good,No,544127.57
Rural,992,2221,1,3,2011,Good,Yes,417880.35
Suburban,4753,17327,4,1,1950,Good,Yes,943303.72
Suburban,3897,8028,1,2,1947,Good,No,353796.56
Rural,2653,30051,3,1,1902,Poor,No,216292.28
Downtown,1615,44975,1,1,1991,Good,Yes,984530.39
Rural,2558,45366,1,1,2002,Poor,No,274285.15
Coastal,2360,26645,4,4,1910,Good,Yes,540550.81
Urban,3185,41787,4,4,2000,Excellent,No,142803.15
Downtown,3200,10009,5,1,2018,Poor,No,991946.02
Downtown,2620,29034,3,3,1963,Poor,No,843996.36
Urban,3420,44524,1,4,1945,Excellent,Yes,313943.62
Downtown,3828,32062,2,4,1962,Good,Yes,661530.38
Suburban,1908,45483,6,2,1904,Poor,No,669784.08
Rural,4449,28781,4,2,2015,Poor,Yes,254939.6
Downtown,1596,37120,1,2,2003,Poor,Yes,928347.18
Suburban,3758,43212,5,4,1957,Good,Yes,138291.77
Urban,1111,31102,4,1,1932,Excellent,No,613911.1
Rural,3963,44481,2,4,1913,Good,No,330736.27
Rural,1175,19886,6,3,2009,Poor,No,876933.14
Coastal,2460,8979,5,2,1910,Good,Yes,767616.36
Coastal,4125,6883,5,4,2000,Excellent,No,935787.12
Downtown,2746,33524,1,4,1932,Excellent,No,782312.81
Rural,1472,20882,6,3,1951,Poor,Yes,287582.36
Rural,3228,47035,5,2,1938,Poor,No,804973.66
Urban,1951,14633,6,1,1923,Poor,No,813048.25
Urban,2339,15750,3,1,2014,Excellent,No,767837.5
Coastal,3201,9751,5,2,1990,Good,No,414121.17
Rural,3332,12314,3,3,1993,Excellent,No,500125.67
Urban,2832,24361,4,4,1907,Poor,No,290999.75
Coastal,2230,45985,3,2,1906,Excellent,Yes,255113.96
Suburban,1840,43764,3,3,1955,Good,Yes,478079.85
Downtown,4564,13379,4,1,1948,Good,No,843133.53
Urban,848,16400,6,1,1961,Good,No,918307.54
Downtown,876,36675,2,3,2016,Good,No,543720.88
Downtown,1681,21749,2,2,2022,Good,Yes,541469.31
Urban,4521,28802,2,4,1993,Good,No,348629.97
Coastal,4417,42788,6,3,1922,Poor,Yes,205942.7
Suburban,959,7483,2,4,1928,Excellent,No,968466.33
Suburban,3886,34717,3,2,1945,Excellent,Yes,968903.85
Downtown,2810,46723,3,2,1935,Excellent,No,106219.88
Downtown,2751,28042,5,3,1929,Poor,Yes,149536.15
Downtown,1193,49199,6,2,1902,Excellent,Yes,124571.33
Coastal,1049,39944,2,1,2000,Good,Yes,464752.57
Suburban,1800,9840,5,3,1922,Poor,Yes,270869.47
Urban,4579,12050,6,4,1943,Good,Yes,952392.57
Rural,1649,49923,5,1,1993,Excellent,Yes,950332.17
Rural,2793,14862,6,4,1925,Good,No,568887.19
Rural,4558,17960,3,1,1937,Excellent,No,760941.54
Urban,1734,14621,3,1,2009,Poor,Yes,970275.71
Rural,4861,26293,1,3,1991,Good,No,508343.05
